,Habitat,Sector,Water_mass,Sediment,Lat end dec,Long_start_dec,Depth_start,Wind_end,Wind_speed_start,Wind_speed_end,Watertemp_ground,O2-saturation_ground
39,2.0,2.0,7.0,4.0,66.2925,-12.347,579.1,8.0,10.0,7.0,-0.40217,283.581
40,2.0,1.0,3.0,1.0,67.21466,-26.207,716.5,6.0,2.0,3.0,0.07,292.966
41,2.0,1.0,3.0,1.0,67.21466,-26.207,716.5,6.0,2.0,3.0,0.07,292.966
42,3.0,1.0,8.0,1.0,67.63266,-26.767,315.9,5.0,6.0,6.0,0.706,290.9
43,3.0,1.0,8.0,1.0,67.63266,-26.767,315.9,5.0,6.0,6.0,0.706,290.9
44,3.0,1.0,8.0,1.0,67.63266,-26.767,315.9,5.0,6.0,6.0,0.706,290.9
45,1.0,3.0,2.0,6.0,63.01833,-28.068,1593.8,1.0,8.0,8.0,4.28,245.53
46,1.0,3.0,6.0,5.0,61.654,-31.356,2504.7,8.0,4.0,8.0,3.16,254.17
47,1.0,3.0,6.0,5.0,61.654,-31.356,2504.7,8.0,4.0,8.0,3.16,254.17
48,1.0,4.0,1.0,3.0,60.0455,-18.136,2567.7,4.0,7.0,7.0,2.6581,258.389
49,1.0,3.0,6.0,5.0,61.654,-31.356,2504.7,8.0,4.0,8.0,3.16,254.17
50,3.0,1.0,8.0,1.0,67.63266,-26.767,315.9,5.0,6.0,6.0,0.706,290.9
51,1.0,5.0,4.0,2.0,67.63866,-12.162,1819.3,7.0,11.0,10.0,-0.8511,271.8759016949153
52,3.0,1.0,8.0,1.0,67.63266,-26.767,315.9,5.0,6.0,6.0,0.706,290.9
53,3.0,1.0,8.0,1.0,67.63266,-26.767,315.9,5.0,6.0,6.0,0.706,290.9
54,1.0,4.0,1.0,3.0,60.0455,-18.136,2567.7,4.0,7.0,7.0,2.6581,258.389
55,1.0,4.0,1.0,3.0,60.0455,-18.136,2567.7,4.0,7.0,7.0,2.6581,258.389
56,1.0,3.0,2.0,6.0,63.01833,-28.068,1593.8,1.0,8.0,8.0,4.28,245.53
57,3.0,1.0,8.0,1.0,67.63266,-26.767,315.9,5.0,6.0,6.0,0.706,290.9
58,3.0,1.0,8.0,1.0,67.63266,-26.767,315.9,5.0,6.0,6.0,0.706,290.9
59,3.0,1.0,8.0,1.0,67.63266,-26.767,315.9,5.0,6.0,6.0,0.706,290.9
60,1.0,1.0,5.0,1.0,67.8595,-23.696,1281.0,3.0,5.0,6.0,-0.66561,278.7728
61,1.0,3.0,2.0,6.0,63.01833,-28.068,1593.8,1.0,8.0,8.0,4.28,245.53
